gene,pattern,sort_key,logFC_Training_CRE,logFC_Training_PLA,pi_score_CRE,pi_score_PLA,pi_score_Interaction,imputed
S100A9,PLA-specific,-1.4436,0.5596,-1.4436,0.599505,0.010357,0.001796,FALSE
CD74,PLA-specific,-1.4542,-0.074,-1.4542,0.990468,0.037509,0.089377,TRUE
PLIN4,PLA-specific,-1.5167,0.1,-1.5167,0.985192,0.001732,0.009822,FALSE
FCGRT,PLA-specific,-1.5233,1.023,-1.5233,0.068157,0.009651,1.3e-5,TRUE
MAP1B,PLA-specific,-1.5364,0.0695,-1.5364,0.986577,9e-6,1.13e-4,TRUE
CSTA,PLA-specific,-1.5371,0.1364,-1.5371,0.969438,8.1e-4,0.004064,TRUE
ALYREF,PLA-specific,-1.5955,0.7289,-1.5955,0.272247,0.007179,1.39e-4,TRUE
COL6A2,PLA-specific,-1.6028,0.8997,-1.6028,0.18282,0.002144,9e-6,TRUE
CAVIN3,PLA-specific,-1.6086,-0.0232,-1.6086,0.999279,0.00144,0.018338,TRUE
GGT5,PLA-specific,-1.6097,0.6616,-1.6097,0.057438,0,0,TRUE
LIPE,PLA-specific,-1.6974,-0.3399,-1.6974,0.830703,3.13e-4,0.057053,TRUE
FABP4,PLA-specific,-1.708,0.7375,-1.708,0.539115,0.014961,0.001892,FALSE
TNKS1BP1,PLA-specific,-1.7345,0.5256,-1.7345,0.54645,5.28e-4,5e-5,TRUE
HDGFL3,PLA-specific,-1.76,-0.0421,-1.76,0.997639,0.015332,0.041458,TRUE
TUBB2B,PLA-specific,-1.7676,0.0757,-1.7676,0.992824,0.005742,0.01573,TRUE
GNG2,PLA-specific,-1.7746,0.1158,-1.7746,0.981857,3.67e-4,0.003017,TRUE
ACADL,PLA-specific,-1.8,0.1961,-1.8,0.899607,3.38e-4,1.96e-4,TRUE
HBB,PLA-specific,-1.8052,0.5492,-1.8052,0.729032,0.00885,0.003587,FALSE
HBA1,PLA-specific,-1.8916,0.6863,-1.8916,0.590271,0.00452,7.86e-4,FALSE
PALM,PLA-specific,-2.0878,0.3811,-2.0878,0.614669,0,0,TRUE
ADIRF,PLA-specific,-2.1071,0.0275,-2.1071,0.999246,1.32e-4,0.003563,TRUE
FASN,PLA-specific,-2.1561,0.3568,-2.1561,0.834574,9e-6,3e-5,TRUE
ATL3,PLA-specific,-2.2747,0.3041,-2.2747,0.800244,0,0,TRUE
RETSAT,PLA-specific,-2.2877,-0.5162,-2.2877,0.658392,7.3e-5,0.022854,TRUE
AOX1,PLA-specific,-2.3178,0.7798,-2.3178,0.263589,3.1e-5,0,TRUE
PRKAR2B,PLA-specific,-2.4856,-0.063,-2.4856,0.992572,0,0,TRUE
TUBB4A,PLA-specific,-2.5858,0.3202,-2.5858,0.765452,0,0,TRUE
CES1,PLA-specific,-2.5913,-0.0914,-2.5913,0.992373,2.1e-5,0.001502,TRUE
KRT19,PLA-specific,-2.632,0.7622,-2.632,0.311288,0,0,TRUE
CD248,Interaction,3.8715,1.0842,-2.7873,0.021915,0,0,TRUE
CAV2,Interaction,3.6597,1.6336,-2.026,0.002059,4.01e-4,0,TRUE
KRT8,Interaction,3.1854,1.6296,-1.5558,0.030818,0.021053,9e-6,TRUE
HNMT,Interaction,2.5403,0.8775,-1.6628,0.039854,3e-6,0,TRUE
COL4A2,Interaction,2.3241,1.0997,-1.2243,0.148132,0.081941,8.33e-4,TRUE
DBN1,Interaction,2.167,1.0366,-1.1304,0.014044,0.005161,0,TRUE
HBG2,Interaction,2.141,0.9474,-1.1936,0.376977,0.170841,0.014368,TRUE
COL6A1,Interaction,1.9759,1.0484,-0.9275,0.12042,0.235295,0.003387,TRUE
ADD3,Interaction,1.9652,1.0254,-0.9398,0.009158,0.020229,1e-6,TRUE
ALB,Interaction,1.95,0.5625,-1.3876,0.679054,0.05052,0.014156,FALSE
COL1A2,Interaction,1.8849,1.2558,-0.6291,0.122073,0.640329,0.030754,TRUE
ELAVL1,Interaction,1.8016,0.7102,-1.0914,0.040364,0.002453,1e-6,TRUE
PVALB,Interaction,1.7753,0.5169,-1.2584,0.488278,0.101184,0.012221,TRUE
RCN3,Interaction,1.755,1.4268,-0.3282,0.082564,0.852769,0.040012,TRUE
SFXN3,Interaction,1.732,0.9564,-0.7756,0.002415,0.03583,1e-6,TRUE
AHNAK,Interaction,1.709,0.6382,-1.0708,0.424813,0.061062,0.004377,FALSE
MYH7,Interaction,1.645,-0.4841,1.1608,0.701202,0.083718,0.02536,TRUE
GNAI3,Interaction,1.6449,0.7764,-0.8685,0.037873,0.043894,4e-5,TRUE
TYMP,Interaction,1.5985,0.6171,-0.9815,0.348193,0.07341,0.003272,TRUE
APOC1,Interaction,1.597,0.4921,-1.105,0.692225,0.113897,0.033653,TRUE
AGFG1,Interaction,1.5939,0.6154,-0.9785,0.445624,0.140352,0.014303,TRUE
NRDC,Interaction,1.5748,-0.6379,0.937,0.209756,0.114748,0.003495,TRUE
PTGIS,Interaction,1.5678,0.8401,-0.7276,0.169861,0.324343,0.010304,TRUE
RHOG,Interaction,1.5572,0.5605,-0.9967,0.452609,0.0887,0.007484,TRUE
GARNL3,Interaction,1.5541,0.4309,-1.1232,0.622448,0.080078,0.015081,TRUE
RNF181,Interaction,1.5468,-0.7133,0.8335,0.222675,0.306364,0.018428,TRUE
B2M,Interaction,1.5452,0.5508,-0.9944,0.47155,0.053113,0.004754,FALSE
LCP1,Interaction,1.5427,0.7978,-0.7449,0.248277,0.322654,0.017074,FALSE
LRP1,Interaction,1.5363,0.7792,-0.7571,0.052492,0.117213,3.37e-4,TRUE
