uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
P20810,0.106121413545754,-0.4089059210461363,0.6211487481376443,19.784444646691735,0.41691589719835115,-4.720637318219497,0.6790498732073891,0.9663828295342393,0,0,0.959756733778054,0,Training_CRE,CAST,ICAL_HUMAN,Calpastatin
O43776,0.3197089377997493,0.029585525436813975,0.6098323501626846,20.07018109478381,2.229706547971019,-4.154886321989488,0.03165862283502913,0.9158559636931725,1,0,0.33158425186106016,0,Training_CRE,NARS1,SYNC_HUMAN,"Asparagine--tRNA ligase, cytoplasmic"
P27348,0.39043011678228723,-0.11215611998496677,0.8930163535495412,19.91802686714783,1.5718403307654107,-4.435318029956027,0.12415094020471122,0.9158559636931725,0,0,0.4428440334627297,0,Training_CRE,YWHAQ,1433T_HUMAN,14-3-3 protein theta
Q96L96,-0.2897140041089479,-0.732786849693504,0.1533588414756083,19.652541004758362,-1.3230311289599817,-4.521728190416861,0.19361062997221345,0.9158559636931725,-0,-0,0.6214603177558206,0,Training_CRE,ALPK3,ALPK3_HUMAN,Alpha-protein kinase 3
Q9BS26,0.06624834981052174,-0.4062658742388498,0.5387625738598933,19.95457525754185,0.28368468251658013,-4.732856912360353,0.778168380905682,0.9758821040563126,0,0,0.9835213784067407,0,Training_CRE,ERP44,ERP44_HUMAN,Endoplasmic reticulum resident protein 44
Q9NX14,0.06859806637967125,-0.5301939240116468,0.6673900567709893,19.89945257845713,0.23179902249303577,-4.736367804019281,0.8179188104461804,0.983307303135033,0,0,0.9863069383229209,0,Training_CRE,NDUFB11,NDUBB_HUMAN,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial"
P46940,0.7912273050231171,0.025607828197269256,1.5568467818489649,19.70769028920692,2.0911879104134345,-4.219449777184893,0.043158474424200656,0.9158559636931725,1,0,0.08318155152697798,0,Training_CRE,IQGAP1,IQGA1_HUMAN,Ras GTPase-activating-like protein IQGAP1
O00629,-0.2249361256726239,-0.5206781857863141,0.07080593444106631,20.015559290889865,-1.538940486567102,-4.4474336657217926,0.13197843783403368,0.9158559636931725,-0,-0,0.634116930290982,0,Training_CRE,KPNA4,IMA3_HUMAN,Importin subunit alpha-3
P51812,-0.15855650015002354,-0.5672560018142245,0.2501430015141774,19.9794152431006,-0.7849746852294466,-4.663417105473292,0.4372607230202502,0.9642948015626768,-0,-0,0.8770756743694615,0,Training_CRE,RPS6KA3,KS6A3_HUMAN,Ribosomal protein S6 kinase alpha-3
Q99757,-0.39003307934717313,-0.7791646612978338,-9.014973965124073e-4,19.92419180687706,-2.0280593990948286,-4.247896636158042,0.04949728440555386,0.9158559636931725,-1,-0,0.30963037085846684,0,Training_CRE,TXN2,THIOM_HUMAN,"Thioredoxin, mitochondrial"
