gene,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,significance,quadrant,imputed
UBE2M,-0.544,0.2546,0.096444,0.615051,NS,Discordant (Cancer Down / Training Up),FALSE
FABP3,-0.482,0.3157,0.455919,0.683975,NS,Discordant (Cancer Down / Training Up),FALSE
MYOM1,-0.4931,0.3044,0.408637,0.694681,NS,Discordant (Cancer Down / Training Up),TRUE
CARS2,-0.35,0.447,0.636784,0.402671,NS,Discordant (Cancer Down / Training Up),TRUE
LMCD1,-0.5857,0.2108,0.227686,0.839036,NS,Discordant (Cancer Down / Training Up),FALSE
LANCL2,-0.6326,-0.1637,0.052585,0.878697,NS,Concordant Down,TRUE
RPS15,0.4873,-0.3089,0.75192,0.880954,NS,Discordant (Cancer Up / Training Down),TRUE
SDR39U1,-0.4425,0.3532,0.57883,0.658014,NS,Discordant (Cancer Down / Training Up),TRUE
COQ6,-0.5483,-0.2468,0.269858,0.772985,NS,Concordant Down,TRUE
TNNC2,0.2004,0.594,0.926317,0.320079,NS,Concordant Up,TRUE
RPS23,0.4279,-0.3652,0.639585,0.700612,NS,Discordant (Cancer Up / Training Down),TRUE
CRK,0.6521,0.1408,0.076704,0.914186,NS,Concordant Up,TRUE
KLHL40,-0.5803,0.2125,0.306646,0.861721,NS,Discordant (Cancer Down / Training Up),TRUE
SVIL,0.468,0.3248,0.408705,0.711569,NS,Concordant Up,TRUE
SNRPB,-0.4774,0.3147,0.131661,0.443462,NS,Discordant (Cancer Down / Training Up),TRUE
BCAT2,-0.589,-0.203,0.097475,0.795914,NS,Concordant Down,TRUE
ACADSB,-0.644,-0.1475,0.070921,0.899634,NS,Concordant Down,TRUE
TGM2,0.5677,0.2232,0.176813,0.782357,NS,Concordant Up,FALSE
SSR4,0.5357,0.2552,0.240452,0.691234,NS,Concordant Up,TRUE
GLS,-0.6922,-0.0984,0.059624,0.965006,NS,Concordant Down,TRUE
ACO1,0.4874,-0.3019,0.063706,0.324876,NS,Discordant (Cancer Up / Training Down),FALSE
RGN,0.686,0.1022,0.065212,0.965662,NS,Concordant Up,TRUE
NDUFAF3,-0.5801,0.2074,0.086901,0.779334,NS,Discordant (Cancer Down / Training Up),TRUE
ATP5ME,-0.5702,0.2169,0.144378,0.777378,NS,Discordant (Cancer Down / Training Up),FALSE
ECI1,-0.554,0.2307,0.188357,0.762666,NS,Discordant (Cancer Down / Training Up),FALSE
SEPTIN9,0.5223,0.2623,0.282391,0.732749,NS,Concordant Up,TRUE
FECH,-0.6102,0.1728,0.118435,0.869196,NS,Discordant (Cancer Down / Training Up),TRUE
CACNB3,-0.549,-0.2338,0.134101,0.715895,NS,Concordant Down,TRUE
SNX2,0.6142,0.166,0.092972,0.870044,NS,Concordant Up,FALSE
BAG6,-0.7271,0.0525,0.217649,0.994388,NS,Discordant (Cancer Down / Training Up),TRUE
TUBA4A,-0.5848,0.1946,0.105583,0.809155,NS,Discordant (Cancer Down / Training Up),FALSE
DHRS7,-0.3965,0.3815,0.179611,0.123481,NS,Discordant (Cancer Down / Training Up),FALSE
SLC9A3R2,0.1734,-0.6044,0.938132,0.40596,NS,Discordant (Cancer Up / Training Down),TRUE
