gene,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,significance,quadrant,imputed
JPH1,-0.3598,-0.0961,0.642746,0.970353,NS,Concordant Down,TRUE
CDNF,-0.2022,0.2535,0.863504,0.820747,NS,Discordant (Cancer Down / TR Up),TRUE
RIDA,-0.4207,-0.0349,0.275414,0.993788,NS,Concordant Down,FALSE
CARNS1,0.1562,0.2993,0.935209,0.71634,NS,Concordant Up,TRUE
TOMM70,-0.217,0.2383,0.822414,0.731628,NS,Discordant (Cancer Down / TR Up),TRUE
SRM,0.1453,0.3099,0.917362,0.542422,NS,Concordant Up,TRUE
NDUFA11,-0.3726,-0.0819,0.564159,0.976062,NS,Concordant Down,TRUE
COPS7A,-0.4507,0.0037,0.066005,0.999901,NS,Discordant (Cancer Down / TR Up),TRUE
EIF3E,-0.3238,-0.1299,0.304575,0.840254,NS,Concordant Down,FALSE
SNTA1,-0.3923,-0.0605,0.383634,0.982472,NS,Concordant Down,TRUE
MCEE,-0.4337,0.019,0.455248,0.99898,NS,Discordant (Cancer Down / TR Up),TRUE
TUBA4A,-0.4122,0.0404,0.274991,0.991246,NS,Discordant (Cancer Down / TR Up),FALSE
HLA-DRB1,0.2605,-0.1919,0.85906,0.914916,NS,Discordant (Cancer Up / TR Down),TRUE
VCL,0.4209,-0.0312,0.233939,0.994609,NS,Discordant (Cancer Up / TR Down),FALSE
GSK3A,0.2582,-0.1935,0.699161,0.817214,NS,Discordant (Cancer Up / TR Down),TRUE
RPS5,-0.2585,0.1927,0.707779,0.796819,NS,Discordant (Cancer Down / TR Up),FALSE
CSNK2A1,-0.4198,0.0309,0.239166,0.994945,NS,Discordant (Cancer Down / TR Up),TRUE
RCSD1,-0.2955,-0.1552,0.598573,0.86281,NS,Concordant Down,TRUE
GDI2,0.3078,-0.1428,0.373878,0.814876,NS,Discordant (Cancer Up / TR Down),FALSE
SERBP1,-0.2452,0.2054,0.784216,0.816509,NS,Discordant (Cancer Down / TR Up),TRUE
BROX,-0.4215,-0.0283,0.38739,0.996865,NS,Concordant Down,TRUE
STK38L,-0.4115,-0.0374,0.408397,0.995264,NS,Concordant Down,TRUE
PGK1,0.3316,-0.117,0.211954,0.848439,NS,Discordant (Cancer Up / TR Down),FALSE
STK24,0.2707,-0.1769,0.729017,0.888819,NS,Discordant (Cancer Up / TR Down),TRUE
TMED1,-0.265,-0.1826,0.676794,0.894551,NS,Concordant Down,TRUE
CSNK2B,-0.2593,-0.1879,0.616206,0.752802,NS,Concordant Down,TRUE
GPT,-0.3584,-0.0886,0.554763,0.967933,NS,Concordant Down,FALSE
PSME1,0.4469,-0,0.147473,1,NS,Discordant (Cancer Up / TR Down),FALSE
HRC,-0.3767,0.07,0.442528,0.976983,NS,Discordant (Cancer Down / TR Up),TRUE
SGCD,-0.4349,-0.0114,0.283523,0.999412,NS,Concordant Down,FALSE
CALR,0.3899,0.0563,0.247768,0.979316,NS,Concordant Up,FALSE
XIRP1,-0.3167,-0.1292,0.713971,0.943608,NS,Concordant Down,TRUE
LPIN1,0.179,0.2655,0.874356,0.699633,NS,Concordant Up,TRUE
JPT1,0.0259,-0.418,0.998894,0.649817,NS,Discordant (Cancer Up / TR Down),TRUE
PPP6R2,-0.4255,0.0184,0.310974,0.998689,NS,Discordant (Cancer Down / TR Up),TRUE
BABAM2,-0.0372,0.4063,0.996011,0.468888,NS,Discordant (Cancer Down / TR Up),TRUE
RO60,0.19,0.2533,0.868523,0.729245,NS,Concordant Up,TRUE
VCP,0.3619,-0.0812,0.228287,0.944984,NS,Discordant (Cancer Up / TR Down),FALSE
TBC1D17,-0.186,-0.2571,0.859346,0.676754,NS,Concordant Down,TRUE
SIRT2,-0.1849,-0.2579,0.87522,0.715074,NS,Concordant Down,TRUE
CNDP2,0.348,0.0946,0.41622,0.945907,NS,Concordant Up,FALSE
ILVBL,-0.1814,-0.2611,0.8926,0.810499,NS,Concordant Down,TRUE
AKR1A1,0.3097,-0.1325,0.488232,0.88056,NS,Discordant (Cancer Up / TR Down),FALSE
ANXA3,0.1565,-0.2856,0.886898,0.530166,NS,Discordant (Cancer Up / TR Down),FALSE
H6PD,-0.3476,-0.0945,0.262537,0.923507,NS,Concordant Down,FALSE
SLC9A3R2,-0.1482,-0.2938,0.94478,0.796747,NS,Concordant Down,TRUE
FKBP1A,0.3357,-0.1057,0.257776,0.894158,NS,Discordant (Cancer Up / TR Down),FALSE
ASPA,-0.4223,0.0189,0.410763,0.998682,NS,Discordant (Cancer Down / TR Up),TRUE
NIPSNAP2,-0.3648,-0.075,0.341482,0.964758,NS,Concordant Down,TRUE
SRSF7,0.3032,0.1365,0.680414,0.917693,NS,Concordant Up,TRUE
ABHD10,-0.2886,-0.1509,0.615871,0.870568,NS,Concordant Down,TRUE
ABRAXAS2,-0.2587,-0.1798,0.714427,0.837218,NS,Concordant Down,TRUE
CAPNS1,0.4221,-0.0148,0.155644,0.998615,NS,Discordant (Cancer Up / TR Down),FALSE
RNF126,-0.0222,-0.4144,0.998032,0.241928,NS,Concordant Down,TRUE
RPL21,0.3356,-0.0999,0.607315,0.954023,NS,Discordant (Cancer Up / TR Down),TRUE
DAG1,-0.0038,-0.4314,0.999945,0.175984,NS,Concordant Down,FALSE
SPCS1,0.3584,-0.0768,0.453611,0.973316,NS,Discordant (Cancer Up / TR Down),TRUE
RELA,-0.3181,-0.1167,0.599217,0.944005,NS,Concordant Down,TRUE
FERMT2,0.3681,-0.0666,0.305073,0.970853,NS,Discordant (Cancer Up / TR Down),FALSE
TCEA3,0.0439,-0.3904,0.993934,0.47737,NS,Discordant (Cancer Up / TR Down),TRUE
LIMS1,0.4111,-0.0231,0.171509,0.996537,NS,Discordant (Cancer Up / TR Down),FALSE
MCTS1,-0.3104,0.1237,0.51551,0.904328,NS,Discordant (Cancer Down / TR Up),TRUE
AP2M1,0.2574,0.1767,0.546713,0.724043,NS,Concordant Up,FALSE
MRPL40,-2e-4,0.4338,1,0.462889,NS,Discordant (Cancer Down / TR Up),TRUE
SNX5,0.2597,0.1737,0.61461,0.801438,NS,Concordant Up,TRUE
METAP2,-0.4244,0.0089,0.247655,0.999605,NS,Discordant (Cancer Down / TR Up),TRUE
HGS,0.2827,-0.1502,0.495012,0.829474,NS,Discordant (Cancer Up / TR Down),TRUE
ST13,0.3797,-0.0532,0.198871,0.978337,NS,Discordant (Cancer Up / TR Down),FALSE
GSTK1,-0.3326,0.0995,0.390688,0.929953,NS,Discordant (Cancer Down / TR Up),FALSE
CD99,0.3236,0.1085,0.736304,0.962134,NS,Concordant Up,TRUE
AMPD1,-0.4269,0.0038,0.565795,0.999964,NS,Discordant (Cancer Down / TR Up),TRUE
TARS1,0.3189,0.1117,0.52658,0.933203,NS,Concordant Up,TRUE
CAPZA2,0.149,0.2811,0.906009,0.574844,NS,Concordant Up,FALSE
PPP5C,-0.3535,0.0765,0.339528,0.960571,NS,Discordant (Cancer Down / TR Up),FALSE
PRPSAP1,-0.3454,-0.0846,0.62207,0.975515,NS,Concordant Down,TRUE
PLIN2,-0.1728,-0.2569,0.912463,0.759727,NS,Concordant Down,TRUE
TMEM38A,-0.2673,-0.1622,0.805634,0.917153,NS,Concordant Down,TRUE
COX7A2,-0.2614,0.1666,0.700393,0.855203,NS,Discordant (Cancer Down / TR Up),TRUE
NFIC,-0.2147,-0.2132,0.715412,0.651399,NS,Concordant Down,TRUE
PCYT2,-0.4008,0.0269,0.222303,0.995716,NS,Discordant (Cancer Down / TR Up),TRUE
EIF1,-0.3326,0.0949,0.528899,0.954186,NS,Discordant (Cancer Down / TR Up),FALSE
NRDC,0.2709,0.1562,0.775571,0.936958,NS,Concordant Up,TRUE
ACOT1,0.0674,-0.3596,0.988335,0.644895,NS,Discordant (Cancer Up / TR Down),TRUE
DHRS4,-0.3971,-0.0298,0.339111,0.995647,NS,Concordant Down,TRUE
SNRPD1,-0.4194,0.007,0.551254,0.99985,NS,Discordant (Cancer Down / TR Up),TRUE
HSD17B10,-0.3151,0.1111,0.358063,0.893248,NS,Discordant (Cancer Down / TR Up),FALSE
DLD,-0.4186,-0.0069,0.139878,0.999692,NS,Concordant Down,FALSE
LYPLA2,-0.3494,-0.0757,0.426801,0.967401,NS,Concordant Down,FALSE
TXNDC17,0.2219,0.2031,0.603246,0.582018,NS,Concordant Up,FALSE
NAMPT,-0.1022,0.3218,0.960132,0.490589,NS,Discordant (Cancer Down / TR Up),FALSE
MYLK3,0.1887,-0.2352,0.893934,0.834955,NS,Discordant (Cancer Up / TR Down),TRUE
TMED9,0.2822,0.1416,0.609576,0.881494,NS,Concordant Up,TRUE
ARL8A,-0.3219,0.1011,0.574773,0.955273,NS,Discordant (Cancer Down / TR Up),TRUE
LRRC20,-0.1272,-0.2957,0.933436,0.541258,NS,Concordant Down,TRUE
SFXN1,-0.1959,0.227,0.780434,0.645289,NS,Discordant (Cancer Down / TR Up),TRUE
AK3,-0.2843,0.1381,0.695072,0.913353,NS,Discordant (Cancer Down / TR Up),FALSE
EIF4E3,-0.2818,-0.1406,0.779681,0.947993,NS,Concordant Down,TRUE
SAR1B,-0.143,-0.2792,0.924676,0.630539,NS,Concordant Down,TRUE
BZW1,-0.229,0.1931,0.822983,0.844324,NS,Discordant (Cancer Down / TR Up),TRUE
HNRNPR,0.2292,0.1925,0.618497,0.658999,NS,Concordant Up,FALSE
EIF2A,-0.4165,0.0052,0.257602,0.999888,NS,Discordant (Cancer Down / TR Up),TRUE
NAA10,0.1642,0.2572,0.87192,0.702439,NS,Concordant Up,TRUE
MOB1A,0.4205,-2e-4,0.396242,1,NS,Discordant (Cancer Up / TR Down),TRUE
COPS5,-0.3471,0.0732,0.196402,0.948341,NS,Discordant (Cancer Down / TR Up),FALSE
UCHL5,-0.2626,0.1571,0.629264,0.873931,NS,Discordant (Cancer Down / TR Up),TRUE
GPX4,-0.181,-0.2384,0.809151,0.587169,NS,Concordant Down,FALSE
PYURF,0.3847,-0.0343,0.75282,0.997739,NS,Discordant (Cancer Up / TR Down),TRUE
MTAP,0.3854,0.0332,0.258396,0.993164,NS,Concordant Up,FALSE
PDPR,-0.3124,0.1061,0.483187,0.929997,NS,Discordant (Cancer Down / TR Up),TRUE
RPA1,-0.3196,-0.0987,0.565883,0.961521,NS,Concordant Down,TRUE
ETFB,-0.3274,0.0907,0.502728,0.954279,NS,Discordant (Cancer Down / TR Up),FALSE
BCAM,0.1989,-0.2189,0.799831,0.726706,NS,Discordant (Cancer Up / TR Down),TRUE
SURF1,-0.3959,0.0219,0.466817,0.998334,NS,Discordant (Cancer Down / TR Up),TRUE
GSTM2,0.1684,-0.2484,0.869396,0.638887,NS,Discordant (Cancer Up / TR Down),FALSE
ALDH1L1,-0.3404,-0.0763,0.543333,0.973356,NS,Concordant Down,FALSE
TPPP,-0.2314,0.1852,0.786045,0.844935,NS,Discordant (Cancer Down / TR Up),TRUE
PPIC,-0.3798,-0.0366,0.64596,0.996827,NS,Concordant Down,TRUE
ARPC1A,-0.4063,-0.0101,0.464686,0.999682,NS,Concordant Down,TRUE
DDX39B,0.3937,0.0223,0.254631,0.997085,NS,Concordant Up,FALSE
PRKAA2,-0.228,-0.187,0.690452,0.746758,NS,Concordant Down,TRUE
PPP2R3A,-0.1567,-0.2583,0.90378,0.788581,NS,Concordant Down,TRUE
SPG7,0.2685,-0.1461,0.714935,0.9061,NS,Discordant (Cancer Up / TR Down),TRUE
ARF5,0.3359,0.0786,0.692466,0.978987,NS,Concordant Up,TRUE
PDP1,-0.1142,0.3001,0.957813,0.591487,NS,Discordant (Cancer Down / TR Up),TRUE
HECTD1,-0.1549,0.2582,0.930189,0.810902,NS,Discordant (Cancer Down / TR Up),TRUE
UBE2N,0.1958,-0.2169,0.653035,0.483017,NS,Discordant (Cancer Up / TR Down),FALSE
PDLIM7,0.2615,0.1502,0.812346,0.925865,NS,Concordant Up,TRUE
TPD52L2,0.3561,-0.0556,0.49614,0.98595,NS,Discordant (Cancer Up / TR Down),FALSE
SBDS,-0.3659,0.0455,0.426174,0.989791,NS,Discordant (Cancer Down / TR Up),FALSE
ITGA7,0.2388,-0.1715,0.620475,0.751913,NS,Discordant (Cancer Up / TR Down),FALSE
SDHA,-0.3706,-0.0395,0.268508,0.989713,NS,Concordant Down,FALSE
CUTC,-0.1091,-0.3009,0.94593,0.476456,NS,Concordant Down,TRUE
PKM,-0.1682,0.241,0.740405,0.383263,NS,Discordant (Cancer Down / TR Up),FALSE
ERAP1,-0.0911,-0.3173,0.965156,0.469054,NS,Concordant Down,TRUE
PDIA6,0.3001,0.1082,0.483587,0.916731,NS,Concordant Up,FALSE
IMPA1,-0.2904,-0.117,0.595108,0.920771,NS,Concordant Down,FALSE
DTD1,-0.1249,-0.2824,0.939986,0.628218,NS,Concordant Down,TRUE
CDC42,0.4053,0.0018,0.278792,0.999984,NS,Concordant Up,FALSE
APIP,0.1516,-0.2553,0.921309,0.746329,NS,Discordant (Cancer Up / TR Down),TRUE
PRKAB2,-0.3102,-0.0964,0.604923,0.958365,NS,Concordant Down,TRUE
SCAMP3,0.1517,-0.2534,0.922002,0.746622,NS,Discordant (Cancer Up / TR Down),TRUE
PLEC,0.0319,0.3726,0.996947,0.438017,NS,Concordant Up,FALSE
MB,-0.2883,0.1158,0.690266,0.941051,NS,Discordant (Cancer Down / TR Up),FALSE
RPS10,0.3024,-0.1017,0.560304,0.940595,NS,Discordant (Cancer Up / TR Down),FALSE
CALU,-0.1602,0.2429,0.77105,0.38732,NS,Discordant (Cancer Down / TR Up),FALSE
EEF1B2,-0.1864,0.2163,0.686172,0.487342,NS,Discordant (Cancer Down / TR Up),FALSE
FUBP1,-0.2814,-0.1208,0.486594,0.880659,NS,Concordant Down,TRUE
UBE2K,-0.3149,0.087,0.290668,0.926721,NS,Discordant (Cancer Down / TR Up),FALSE
PEBP1,0.1513,-0.2506,0.834847,0.451446,NS,Discordant (Cancer Up / TR Down),FALSE
HNRNPH3,0.3875,-0.0134,0.388311,0.999194,NS,Discordant (Cancer Up / TR Down),TRUE
UBE2L3,0.3663,-0.0345,0.435967,0.994373,NS,Discordant (Cancer Up / TR Down),FALSE
MOB4,-0.3245,-0.0762,0.502567,0.970644,NS,Concordant Down,TRUE
CCAR2,-0.356,0.0447,0.586642,0.993385,NS,Discordant (Cancer Down / TR Up),TRUE
UBE2H,-0.1526,0.2473,0.905691,0.712999,NS,Discordant (Cancer Down / TR Up),TRUE
RAB5C,0.3257,-0.0739,0.461671,0.967164,NS,Discordant (Cancer Up / TR Down),FALSE
ENOPH1,-0.224,-0.1753,0.671752,0.747879,NS,Concordant Down,TRUE
KRT2,-0.2817,0.1171,0.861263,0.972554,NS,Discordant (Cancer Down / TR Up),TRUE
APPL1,-0.2428,0.156,0.604233,0.800311,NS,Discordant (Cancer Down / TR Up),TRUE
HLA-DRB5,0.1805,0.2177,0.927439,0.888466,NS,Concordant Up,TRUE
DDX1,-0.2102,0.1873,0.72613,0.726748,NS,Discordant (Cancer Down / TR Up),FALSE
D2HGDH,-0.3671,-0.0294,0.61779,0.997812,NS,Concordant Down,TRUE
COPS3,-0.2402,-0.156,0.681819,0.833729,NS,Concordant Down,FALSE
KPNB1,0.2866,0.1092,0.368179,0.877844,NS,Concordant Up,FALSE
GNPDA2,0.3396,0.0556,0.580884,0.98655,NS,Concordant Up,TRUE
FUS,0.389,-0.006,0.197826,0.999765,NS,Discordant (Cancer Up / TR Down),FALSE
CMBL,-0.2579,-0.137,0.768466,0.921829,NS,Concordant Down,FALSE
LGALSL,-0.3048,-0.0895,0.656942,0.971416,NS,Concordant Down,TRUE
PPT1,0.1506,0.2437,0.894408,0.68808,NS,Concordant Up,TRUE
ILF3,-0.1424,0.2515,0.902985,0.616934,NS,Discordant (Cancer Down / TR Up),TRUE
ADH5,0.2894,-0.1043,0.573375,0.933768,NS,Discordant (Cancer Up / TR Down),FALSE
NPLOC4,-0.3266,0.0663,0.431746,0.972264,NS,Discordant (Cancer Down / TR Up),FALSE
STAT3,-0.3182,-0.0747,0.398622,0.961025,NS,Concordant Down,TRUE
RNH1,0.2958,-0.097,0.424619,0.922218,NS,Discordant (Cancer Up / TR Down),FALSE
ESD,0.1432,-0.2493,0.806839,0.334495,NS,Discordant (Cancer Up / TR Down),FALSE
SOD2,0.3718,0.0206,0.34584,0.997725,NS,Concordant Up,FALSE
SAE1,0.3569,0.0355,0.41392,0.99421,NS,Concordant Up,TRUE
SGCA,-0.0843,-0.3077,0.973236,0.530683,NS,Concordant Down,TRUE
ENSA,0.1438,-0.2481,0.92765,0.748885,NS,Discordant (Cancer Up / TR Down),TRUE
BAG3,-0.3066,0.085,0.593819,0.964043,NS,Discordant (Cancer Down / TR Up),TRUE
DMD,-0.3697,0.0217,0.50325,0.998158,NS,Discordant (Cancer Down / TR Up),TRUE
GOT1,-0.2903,0.101,0.641952,0.949387,NS,Discordant (Cancer Down / TR Up),FALSE
SEC24B,-0.2948,-0.0964,0.802167,0.980995,NS,Concordant Down,TRUE
RRAS2,0.3061,-0.085,0.720498,0.979722,NS,Discordant (Cancer Up / TR Down),TRUE
EPN1,0.1951,0.1957,0.779018,0.798377,NS,Concordant Up,TRUE
PREB,-0.1194,0.2711,0.943555,0.603893,NS,Discordant (Cancer Down / TR Up),TRUE
ALDH7A1,0.3057,0.0846,0.551904,0.959915,NS,Concordant Up,FALSE
ATP6V1E1,0.1843,0.206,0.865443,0.786581,NS,Concordant Up,FALSE
TIMM21,0.1061,-0.284,0.963713,0.688561,NS,Discordant (Cancer Up / TR Down),TRUE
SCP2,0.1624,-0.2275,0.838798,0.600645,NS,Discordant (Cancer Up / TR Down),FALSE
MTHFD1,0.1175,-0.2722,0.88224,0.287612,NS,Discordant (Cancer Up / TR Down),FALSE
CUL3,-0.3054,-0.0841,0.379297,0.945176,NS,Concordant Down,TRUE
SET,0.0791,0.3086,0.969748,0.405946,NS,Concordant Up,FALSE
RAB9A,0.1069,0.2807,0.96803,0.778329,NS,Concordant Up,TRUE
CPNE3,0.1936,-0.1939,0.720314,0.647805,NS,Discordant (Cancer Up / TR Down),FALSE
NCK1,-0.3848,-0.0026,0.696962,0.999988,NS,Concordant Down,TRUE
ALDH9A1,0.0907,-0.2966,0.944777,0.298989,NS,Discordant (Cancer Up / TR Down),FALSE
SSBP1,-0.3076,0.0797,0.588663,0.968274,NS,Discordant (Cancer Down / TR Up),FALSE
CNBP,-0.3852,-0.0019,0.535274,0.999988,NS,Concordant Down,TRUE
UTRN,0.1451,-0.2418,0.92157,0.720563,NS,Discordant (Cancer Up / TR Down),TRUE
EIF3A,-0.3735,-0.0132,0.16704,0.998691,NS,Concordant Down,FALSE
DPP3,0.1887,-0.1976,0.75076,0.656255,NS,Discordant (Cancer Up / TR Down),FALSE
NUDC,-0.1705,-0.21560000000000001,0.840947,0.687291,NS,Concordant Down,TRUE
STRN3,-0.3815,0.0045,0.483439,0.99994,NS,Discordant (Cancer Down / TR Up),TRUE
ATP5MF,-0.3346,0.0513,0.405836,0.983786,NS,Discordant (Cancer Down / TR Up),FALSE
GAPDH,0.2996,0.0861,0.277165,0.918191,NS,Concordant Up,FALSE
TOLLIP,-0.3605,0.0247,0.383502,0.996777,NS,Discordant (Cancer Down / TR Up),FALSE
GPD2,-0.3252,-0.0597,0.47312,0.979599,NS,Concordant Down,FALSE
RPS6KA3,-0.2914,-0.0929,0.516958,0.941379,NS,Concordant Down,TRUE
PPP1R14B,0.0746,0.3095,0.986081,0.681423,NS,Concordant Up,TRUE
GRB2,-0.2665,-0.1164,0.563819,0.898487,NS,Concordant Down,TRUE
GLRX,-0.3394,0.0434,0.584127,0.992765,NS,Discordant (Cancer Down / TR Up),TRUE
GLO1,-0.0902,-0.2925,0.94602,0.316178,NS,Concordant Down,FALSE
EZR,0.3379,0.0447,0.467542,0.989831,NS,Concordant Up,TRUE
VBP1,-0.1463,-0.2351,0.848999,0.580131,NS,Concordant Down,TRUE
DHCR24,-0.1594,-0.2212,0.9046,0.794256,NS,Concordant Down,TRUE
ACADM,-0.3373,0.0423,0.504638,0.991383,NS,Discordant (Cancer Down / TR Up),FALSE
HLA-C,0.2963,0.083,0.66851,0.970765,NS,Concordant Up,TRUE
GSTZ1,-0.3173,0.0612,0.655694,0.985813,NS,Discordant (Cancer Down / TR Up),TRUE
DNAJA3,0.3612,0.0167,0.653257,0.99927,NS,Concordant Up,TRUE
PSMA7,0.2129,-0.1648,0.657523,0.741306,NS,Discordant (Cancer Up / TR Down),FALSE
PAK1,-0.2125,-0.1644,0.828726,0.890703,NS,Concordant Down,TRUE
TBCE,0.2654,0.1113,0.864476,0.976924,NS,Concordant Up,TRUE
CARM1,-0.3184,0.0577,0.399497,0.980094,NS,Discordant (Cancer Down / TR Up),TRUE
NUBP1,-0.3405,0.0347,0.573306,0.995665,NS,Discordant (Cancer Down / TR Up),TRUE
ADSS1,-0.2072,-0.1678,0.81562,0.850704,NS,Concordant Down,TRUE
ARMT1,-0.1864,-0.1881,0.844992,0.801553,NS,Concordant Down,TRUE
OPA3,-0.092,0.2823,0.980057,0.788562,NS,Discordant (Cancer Down / TR Up),TRUE
ATPAF1,-0.2075,0.1665,0.856312,0.898086,NS,Discordant (Cancer Down / TR Up),TRUE
MRPS22,0.2917,-0.0823,0.632376,0.97178,NS,Discordant (Cancer Up / TR Down),TRUE
PCCB,-0.3515,0.0214,0.402645,0.99757,NS,Discordant (Cancer Down / TR Up),FALSE
GGCT,-0.2207,-0.1521,0.72274,0.837414,NS,Concordant Down,FALSE
VDAC1,-0.3609,0.0115,0.357102,0.999285,NS,Discordant (Cancer Down / TR Up),FALSE
AGO2,0.3453,-0.0268,0.481835,0.996718,NS,Discordant (Cancer Up / TR Down),TRUE
PSMC1,0.2416,-0.1304,0.667585,0.882415,NS,Discordant (Cancer Up / TR Down),FALSE
SIAE,0.3276,0.0444,0.712912,0.995495,NS,Concordant Up,TRUE
HIKESHI,-0.3238,-0.048,0.518005,0.988639,NS,Concordant Down,TRUE
LAMTOR5,0.1626,0.2091,0.919112,0.857409,NS,Concordant Up,TRUE
ATAD3A,-0.2056,-0.1658,0.824882,0.875113,NS,Concordant Down,TRUE
FN3KRP,-0.2033,0.168,0.812316,0.844269,NS,Discordant (Cancer Down / TR Up),TRUE
RPSA,0.2294,-0.1419,0.576392,0.794814,NS,Discordant (Cancer Up / TR Down),FALSE
UBA1,0.2857,-0.0854,0.418691,0.935729,NS,Discordant (Cancer Up / TR Down),FALSE
RBBP7,-0.0649,-0.3054,0.980965,0.491032,NS,Concordant Down,TRUE
ABCE1,-0.1181,0.2507,0.902214,0.448714,NS,Discordant (Cancer Down / TR Up),FALSE
EIF4A1,0.2208,-0.1479,0.641078,0.798408,NS,Discordant (Cancer Up / TR Down),FALSE
NT5C,0.257,-0.1117,0.734335,0.941482,NS,Discordant (Cancer Up / TR Down),TRUE
IDI1,0.0718,-0.2967,0.984784,0.661827,NS,Discordant (Cancer Up / TR Down),TRUE
PKIA,0.1379,-0.2304,0.881409,0.589718,NS,Discordant (Cancer Up / TR Down),TRUE
ACADS,-0.3268,-0.0412,0.606598,0.993216,NS,Concordant Down,FALSE
HSPA9,-0.2752,0.0923,0.438858,0.921716,NS,Discordant (Cancer Down / TR Up),FALSE
INPP1,-0.0707,0.2961,0.976826,0.480418,NS,Discordant (Cancer Down / TR Up),TRUE
ANXA7,0.1636,-0.2029,0.701713,0.449668,NS,Discordant (Cancer Up / TR Down),FALSE
COX6A2,0.24,0.1265,0.913129,0.969844,NS,Concordant Up,TRUE
SLC27A1,-0.1935,-0.173,0.797859,0.819226,NS,Concordant Down,TRUE
THNSL1,0.0493,0.3168,0.993937,0.730594,NS,Concordant Up,TRUE
VDAC2,-0.1852,0.1807,0.750707,0.700951,NS,Discordant (Cancer Down / TR Up),FALSE
SLC44A2,-0.2415,0.1244,0.756102,0.925741,NS,Discordant (Cancer Down / TR Up),TRUE
MYH4,-0.1389,0.2265,0.971815,0.908068,NS,Discordant (Cancer Down / TR Up),TRUE
UBAC1,-0.2798,0.0855,0.571973,0.953608,NS,Discordant (Cancer Down / TR Up),FALSE
PRDX3,-0.2527,0.1125,0.491929,0.873312,NS,Discordant (Cancer Down / TR Up),FALSE
RPS8,-0.3564,-0.0083,0.229861,0.999522,NS,Concordant Down,FALSE
MLYCD,-0.2822,0.0824,0.684136,0.972544,NS,Discordant (Cancer Down / TR Up),TRUE
LAMP2,0.2329,-0.1308,0.668044,0.872411,NS,Discordant (Cancer Up / TR Down),FALSE
CS,-0.2272,0.1364,0.690327,0.863615,NS,Discordant (Cancer Down / TR Up),FALSE
MYBPC1,0.1441,0.2191,0.945255,0.836252,NS,Concordant Up,TRUE
EIF5B,-0.1461,-0.2166,0.837221,0.589494,NS,Concordant Down,TRUE
LETM1,-0.3001,-0.062,0.451128,0.97294,NS,Concordant Down,TRUE
PDCD6,0.1799,-0.1818,0.791981,0.740206,NS,Discordant (Cancer Up / TR Down),TRUE
TSPO,0.0484,0.3132,0.991891,0.526563,NS,Concordant Up,FALSE
TOMM22,-0.1885,0.1726,0.86652,0.885032,NS,Discordant (Cancer Down / TR Up),TRUE
PFN1,0.3393,-0.0212,0.421791,0.997563,NS,Discordant (Cancer Up / TR Down),FALSE
RPS28,0.2856,0.0744,0.5649,0.966361,NS,Concordant Up,TRUE
UBE2V2,0.1263,-0.2335,0.883875,0.498555,NS,Discordant (Cancer Up / TR Down),FALSE
LIMCH1,-0.1802,0.1794,0.850284,0.876678,NS,Discordant (Cancer Down / TR Up),TRUE
UQCR10,-0.325,-0.0333,0.582991,0.995336,NS,Concordant Down,TRUE
EIF1AX,-0.1932,-0.1647,0.780665,0.801356,NS,Concordant Down,TRUE
PPA1,0.3213,-0.0363,0.310766,0.989699,NS,Discordant (Cancer Up / TR Down),FALSE
FABP3,-0.2463,0.1112,0.810385,0.954864,NS,Discordant (Cancer Down / TR Up),FALSE
RAD23A,0.2398,-0.1176,0.610545,0.886133,NS,Discordant (Cancer Up / TR Down),FALSE
ATXN10,-0.1943,-0.1631,0.80194,0.84226,NS,Concordant Down,TRUE
ATP5F1E,-0.2636,0.0936,0.821581,0.973722,NS,Discordant (Cancer Down / TR Up),TRUE
PLCL1,0.1467,-0.21,0.937199,0.862206,NS,Discordant (Cancer Up / TR Down),TRUE
CYTH1,-0.1258,-0.2293,0.920088,0.688386,NS,Concordant Down,TRUE
RPS6,-0.1716,0.1832,0.809118,0.733112,NS,Discordant (Cancer Down / TR Up),TRUE
PLEKHF1,-0.1486,-0.2061,0.892365,0.745781,NS,Concordant Down,TRUE
NTMT1,-0.2821,-0.0726,0.696468,0.979552,NS,Concordant Down,TRUE
HNRNPH2,0.2759,0.0783,0.640669,0.967518,NS,Concordant Up,TRUE
SUB1,0.2492,0.1044,0.563219,0.907491,NS,Concordant Up,FALSE
PPCDC,0.2305,-0.1221,0.760395,0.922799,NS,Discordant (Cancer Up / TR Down),TRUE
PDLIM1,0.2675,0.0847,0.585765,0.951939,NS,Concordant Up,FALSE
SMTN,-0.3143,0.0369,0.501347,0.993169,NS,Discordant (Cancer Down / TR Up),TRUE
ATP2A1,-0.3369,0.0139,0.628365,0.999345,NS,Discordant (Cancer Down / TR Up),TRUE
SRP14,-0.1452,0.2055,0.923209,0.803375,NS,Discordant (Cancer Down / TR Up),TRUE
SFPQ,0.3423,0.0076,0.426974,0.999716,NS,Concordant Up,TRUE
PACSIN3,-0.324,0.0257,0.443735,0.996257,NS,Discordant (Cancer Down / TR Up),TRUE
MIF,0.3209,0.0287,0.570486,0.996351,NS,Concordant Up,FALSE
FAM98A,-0.2435,-0.1056,0.815933,0.965066,NS,Concordant Down,TRUE
