"","uniprot_id","protein","gene","description","Ensembl","CR006_T1","CR006_T2","CR007_T2","CR008_T1","CR008_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","PPS02","PPS20","PPS28","PPS31","PPS32","PPS37","PPS40","PPS41","PPS42","PPS44"
"Q9BVV7","Q9BVV7","TIM21_HUMAN","TIMM21","Mitochondrial import inner membrane translocase subunit Tim21","ENSG00000075336",NA,15.4857261592747,15.2546464171844,16.5001851180636,16.4939489987939,14.9435769403748,14.5004836898253,14.8266834322158,NA,15.2004818431095,NA,15.6462537956802,14.7422949568579,NA,NA,NA,NA,15.705062021063,NA,NA,15.2387658028331,16.4313854739083,15.7837993201621,15.3161882616849,15.0153859944313,NA,15.2353877281699,15.718628204682,16.1389335362841,15.830507867069,15.4885392662098,15.8325061406392,15.3310410655126,14.7511653474665,14.963272025749
"Q9NZZ3","Q9NZZ3","CHMP5_HUMAN","CHMP5","Charged multivesicular body protein 5","ENSG00000086065",NA,NA,15.625021856202,15.1527453981071,14.872456097934,15.5252996787209,16.1130982041056,16.1161994083492,15.2995894086204,15.7379392616769,NA,14.7341945235769,15.5138993118069,NA,15.4866631575697,15.754594773442,15.5805902773981,15.3360033642284,15.7104593614612,15.2664438395991,NA,14.9625202222187,15.6490689374346,14.734450684022,14.6440401822257,15.2800095467771,15.5805545571425,14.6157341724457,15.0682399924185,15.5050635773421,15.6746682727154,15.8028408582325,15.2698316849564,15.4956663333284,15.3197337059287
"Q9H446","Q9H446","RWDD1_HUMAN","RWDD1","RWD domain-containing protein 1","ENSG00000111832",NA,NA,15.1740574215358,15.5557833743816,14.6545308577055,15.8106290015095,15.9145367602709,15.2837570178017,14.5547685189069,15.6705293538749,15.3083734510839,NA,15.0675365367096,NA,15.5061663999284,15.6606422755885,15.1394265658893,NA,15.007463449169,15.6364823554854,15.158673784414,15.1146539756602,15.9305415769418,NA,14.9691421712762,16.2174754066437,15.9023173854722,16.1350219323306,15.5992556491245,16.2804288174619,15.0657763388281,15.9705980322989,15.4312688426661,15.9419585206709,17.0534855168454
"O43684","O43684","BUB3_HUMAN","BUB3","Mitotic checkpoint protein BUB3","ENSG00000154473",NA,NA,NA,15.5352014740114,NA,15.2898354988571,15.8770489435445,15.4431438135346,15.8364524374902,NA,NA,15.8153471374616,15.2230895439963,15.0078119916007,15.3848837374461,15.5070146150852,15.9467807317542,15.2265019775227,15.3977440716267,15.1661408262419,15.6554690787293,NA,NA,NA,NA,NA,NA,NA,15.3606727069288,NA,15.1013862149687,15.0659144591984,15.2366475115244,15.3384878572716,NA
"P49902","P49902","5NTC_HUMAN","NT5C2","Cytosolic purine 5'-nucleotidase","ENSG00000076685",NA,NA,16.0128845318416,14.841836469979,NA,15.8309545795133,15.5454720455785,15.4620580278592,15.8458903223954,14.1987046723374,NA,15.5419519705683,NA,NA,14.8220042129814,15.052409689488,NA,15.5846405140812,16.1423946482373,14.7609137353627,16.0890200218208,15.590581680904,16.4009664026586,14.5587171927935,15.1858182653444,15.1880804621336,NA,16.6246257558213,14.9584180054543,14.9880269681211,16.2558583650546,15.4317636121,15.1940705043551,15.3037725084688,14.0904792945133
"Q9UNF0","Q9UNF0","PACN2_HUMAN","PACSIN2","Protein kinase C and casein kinase substrate in neurons protein 2","ENSG00000100266",NA,NA,14.9051182173001,15.8273141970392,14.3292361063339,15.6330396221032,14.736605142514,15.2518997271958,16.0304175466911,15.4066615705459,15.1744603862151,15.1629040138683,15.1003551001039,15.2057886570887,15.1121125818519,14.8363284019174,14.4061130285777,15.6573023748164,15.754089039615,15.5627413919012,15.2484887869912,15.4005405535745,15.4883569991598,15.3862631454258,15.7199375678804,14.5181058620012,15.24293826412,15.1890219328598,14.8457780413153,15.1873925350809,15.1383918368679,14.3521227174419,14.4639191349597,14.142423394601,15.3121593285394
"Q9NQX3","Q9NQX3","GEPH_HUMAN","GPHN","Gephyrin","ENSG00000171723",15.7109047715897,NA,15.4597440752386,15.3935523875969,NA,14.83975774077,15.2949259780437,15.3832614710658,14.7246866366945,15.515560053217,NA,15.8387408377392,15.9273920409475,14.6681023562447,15.3925026468821,15.5294304796773,14.7100776459588,15.3188573283501,15.0942109429302,15.6217290408018,NA,15.7235662480928,NA,15.5609413084324,15.1303091259626,15.634245552549,16.2467331856936,15.6600521927567,15.8522220271048,15.6932597617149,15.4799391897076,15.7947753029101,15.2979756001583,15.705070412968,15.0046990633773
"Q96CT7","Q96CT7","CC124_HUMAN","CCDC124","Coiled-coil domain-containing protein 124","ENSG00000007080",NA,NA,15.3716775744654,15.0960604215952,15.1275516601866,15.4153760966473,15.3888313919782,15.5743552909424,15.2626036831731,NA,NA,NA,15.4137191091879,16.3061086508901,15.336389089373,15.436667530963,NA,NA,NA,15.3705912759834,15.6843554661446,NA,15.0323239840986,15.6447503265997,15.4006215749996,NA,15.1943395265161,NA,15.0704037104574,14.5962889350007,14.9355199501086,15.5501959765751,15.5038657973761,15.725186380843,NA
"Q9H3K2","Q9H3K2","GHITM_HUMAN","GHITM","Growth hormone-inducible transmembrane protein","ENSG00000165678",15.8466790599176,16.2608312228607,14.7253569741712,NA,16.3218109824482,15.4473246512041,14.4764803265174,15.0440493210072,13.8318969477074,16.6195369974496,15.7847882897854,16.2343593853882,16.0089200391972,NA,15.0176603147855,14.5026995473815,14.9190775965625,15.9116403339235,13.6910839442907,16.0171277235559,14.9489055019815,15.6706065114345,15.041330716698,15.6173843300442,16.3434481505131,15.321988377418,15.3902831960811,15.8391343978703,15.0233009413195,15.8609820455743,15.0083699369236,14.5998105523941,15.8263600042729,14.8937576216144,16.3268354711735
"Q92667","Q92667","AKAP1_HUMAN","AKAP1","A-kinase anchor protein 1, mitochondrial","ENSG00000121057",NA,NA,NA,NA,15.5204392743794,14.5168743824111,15.0054218056066,14.6578885255651,NA,15.3156279320302,14.6544248965304,15.4962829030328,15.3346004017626,NA,15.3182633993126,NA,NA,14.996096034712,NA,15.4033628686122,15.6669363058797,15.6799145834756,15.4895162104085,15.5630972222861,15.0505047942343,14.9440069494501,16.4396086457611,15.674826537796,16.0343568166583,16.721935497511,16.2387412410492,15.6213511339268,15.795472263671,15.8435226007165,15.7109517510703
"P53384","P53384","NUBP1_HUMAN","NUBP1","Cytosolic Fe-S cluster assembly factor NUBP1","ENSG00000103274",15.4942243199789,NA,15.3795805989634,16.0732284064618,15.5684425686778,16.1380502827368,15.8037341875875,15.1513763602412,NA,15.4381314593043,15.1987777174595,15.6364649389899,14.9491316977525,NA,15.2477301797143,14.9475795469449,NA,15.2161469247094,14.4645978579362,13.8897304313783,15.9518541701934,15.3648439020928,15.4211920107361,15.4222582817399,NA,15.8837841901453,14.8659904304595,14.979318265552,16.1908829316515,15.8937640964604,16.1438164569799,16.4237940515,15.1561796394749,15.6746781239758,15.3414973568475
"Q8TD30","Q8TD30","ALAT2_HUMAN","GPT2","Alanine aminotransferase 2","ENSG00000166123",15.1658145467512,14.1679267044707,15.8997308281583,16.3740946763136,16.1946349025704,14.2956647159547,15.2559626312788,14.6331969325306,15.2956604149074,14.9798726247499,NA,14.3898857089886,NA,NA,NA,NA,14.2021485064195,15.7086171633984,NA,NA,NA,15.8882961254473,16.4134675016973,14.765814987787,14.2159116815963,NA,15.5347276689709,15.1483731523402,14.9440765641136,16.5129050447519,16.1562187098373,15.7775431870083,14.2210583209379,16.6661256481808,15.0291664292786
"Q86UT6","Q86UT6","NLRX1_HUMAN","NLRX1","NLR family member X1","ENSG00000160703",NA,NA,15.8168423746064,16.1773865542735,16.1621714831424,14.9094681207796,14.8026435156665,15.3356453818918,14.2466707666771,15.4714910346866,15.1987415238836,14.8506741125038,NA,NA,14.810992080678,14.5230621030514,14.2984246510935,14.9942614187604,14.0179123573681,NA,15.0329429235994,15.5573362105213,15.8993581682079,NA,15.1303717976641,15.8090923879442,15.6407973315842,16.5857398340192,16.0449069137371,15.6150718055327,16.0478407603082,16.2148811952045,15.3975435105475,15.5123464778648,15.7166810776283
"Q9UDT6","Q9UDT6","CLIP2_HUMAN","CLIP2","CAP-Gly domain-containing linker protein 2","ENSG00000106665",NA,14.7787325068933,15.4148170898009,14.7714404054867,14.5450988939437,14.8272392848723,15.5248788030416,15.6036895138517,NA,14.9036853250737,15.7308031450661,15.2741412985327,NA,NA,15.5340710068311,15.5329651354235,15.523914042111,15.0466127840021,14.7715990086229,NA,NA,15.508717311984,15.2470222017986,15.909632859279,NA,16.2678943549947,15.843051806626,15.4660748015747,15.9056115592789,16.2066934914901,16.1041539044357,15.5364670031924,16.0513300145866,15.5408767303624,15.964752737577
"P36873","P36873","PP1G_HUMAN","PPP1CC","Serine/threonine-protein phosphatase PP1-gamma catalytic subunit","ENSG00000186298",15.0187131719822,NA,15.6262413454875,14.8594187265821,14.7633656405668,15.0363515738553,15.575170812689,15.4870646903895,15.9704943698651,15.2459965939626,15.4510752775053,14.5000052906484,NA,NA,15.6771217380679,15.691911098282,15.2776074831896,15.0486315311182,16.1095829795496,NA,NA,15.4487976043126,15.8315133354186,15.2056282463587,15.886876517565,15.5446437195323,14.4407653683123,15.5574292136561,14.8441223201399,14.5885346135333,14.9565682554303,14.913376932443,14.9295213301516,15.3595822214601,14.816723814027
"P49354","P49354","FNTA_HUMAN","FNTA","Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha","ENSG00000168522",15.4487046716333,NA,15.1790449157694,15.3339358495352,16.329124305391,15.202382527217,15.0395709011204,15.1355518835348,15.2506487874963,15.3075670485576,16.2520786791766,15.3637181265939,14.9227050867687,NA,15.0773137170806,14.5139675667937,14.6258915304931,15.2998892267325,14.629735274488,14.7788111581608,16.1619873939945,15.4354649957645,15.7097682805305,15.1372086629527,16.3612161735354,15.6051956154341,16.0749896547567,15.5766537081773,15.4945144553967,14.8375742273272,15.1421664012693,15.7379041156713,15.1414346924775,15.6209327871162,15.9667973110993
"Q9UNH7","Q9UNH7","SNX6_HUMAN","SNX6","Sorting nexin-6","ENSG00000129515",14.593951042122,14.6085932125023,15.5982616350798,15.4024350576821,14.9432245110605,15.3278385795398,15.1185163468735,15.6373263915386,16.1891019180381,14.2106676569341,14.747266533796,14.4698880980026,NA,14.5984389644761,15.2231183843184,14.3617332235521,16.0276971923997,15.2594218172178,15.6675006313671,NA,14.5914248260353,14.7864012905209,13.7853789909435,15.575881909099,15.0150010179007,14.9138027650978,15.0419600452306,15.3953103314185,15.1126958038195,14.6273241786663,14.9894855163038,15.1671154133742,15.0889430319867,15.0132626285517,14.5945455697148
"Q9BXS5","Q9BXS5","AP1M1_HUMAN","AP1M1","AP-1 complex subunit mu-1","ENSG00000072958",15.3910750520488,15.9282338179281,NA,15.261030937332,15.2026525334601,15.5955081725256,NA,15.1030807325588,NA,15.3230067675699,16.0032503637329,16.2271988358608,NA,NA,14.9983344283014,NA,NA,15.4829672280667,NA,14.1755575586953,NA,14.6400543902132,15.6468042975675,15.5907476152396,15.3762112874196,15.3860097134376,15.6748758811888,15.1733112231086,15.4264697486133,15.668701108574,14.8531428675149,15.0812595073717,15.0318395910646,15.1421939370968,15.0739292197226
"Q86YB7","Q86YB7","ECHD2_HUMAN","ECHDC2","Enoyl-CoA hydratase domain-containing protein 2, mitochondrial","ENSG00000121310",15.2147077931719,NA,16.2663184938,16.2246055898163,16.7706137995988,14.6274543410371,13.8607348408229,14.3823133170117,NA,NA,NA,15.4111811919169,NA,NA,14.5919116192853,NA,15.1510646643189,NA,NA,15.7537573351011,15.6147709022171,15.0390434468655,14.8123462552896,14.3973112609322,NA,15.1298552542269,15.3325928659132,15.5438835942667,14.6212458685793,15.9024187964827,16.0309522083211,15.1015239189498,14.4595866211217,15.4912666729493,15.741982905498
"P00326","P00326","ADH1G_HUMAN","ADH1C","Alcohol dehydrogenase 1C","ENSG00000248144",NA,NA,NA,15.2068498427934,NA,15.1568875347685,15.3904850139031,14.8368565880172,16.2585601027414,14.5160228203955,14.0647595356893,15.3967853376411,NA,15.3208990196934,15.1465974622678,14.8843205133776,15.217844800008,15.9723768582018,14.0851121764346,NA,NA,15.1849655542894,15.2575239568823,NA,16.1534625602666,NA,15.6020272531942,NA,14.3513612707985,14.8886520501235,13.4719741367457,13.4475068262671,13.5504714548858,14.5758808035718,14.8992544359284
"P54577","P54577","SYYC_HUMAN","YARS1","Tyrosine--tRNA ligase, cytoplasmic","ENSG00000134684",15.3146649680308,14.9965331288854,14.9331947123335,14.6725222851261,15.58573196235,15.3792666054122,14.9016099853193,15.1401605252192,14.7675748935416,15.3850928008871,15.2380240750639,15.5085766817173,15.7035156347082,15.8348815894275,15.2198113253751,15.1115558197561,15.2627798161682,15.5678533018993,14.7500037745135,15.4720505505452,15.8054489328225,15.5833025067489,15.6750724449903,NA,15.057173761711,15.9779139176079,15.4491372710019,15.6463187029225,15.2507050963185,14.7502106742827,14.947090059452,14.9785193442249,15.1691763349868,15.2197524163145,15.8799345387812
"O00193","O00193","SMAP_HUMAN","SMAP","Small acidic protein","ENSG00000110696",NA,NA,15.492379353839,16.0404155582618,15.3112118298799,13.7245593145561,15.9304687031126,15.9032546831188,14.9684689842031,15.0047504575351,NA,15.3930739679071,14.5662191037572,14.8329727787025,15.6727058170653,15.4381809508577,16.0059987749408,15.5963031132512,15.4247817814098,15.6350296912461,15.3009236970163,15.5669535822945,15.1229488484575,15.5448271933002,14.7487331938678,NA,15.5865074477472,14.3673888531231,15.5748629099542,15.49418902111,15.4485819392821,15.4670747011909,15.5517933277835,15.5051834292062,15.2293822184399
"Q712K3","Q712K3","UB2R2_HUMAN","UBE2R2","Ubiquitin-conjugating enzyme E2 R2","ENSG00000107341",NA,NA,15.6313670709444,15.59843611674,16.4359889020046,15.6761956095756,15.3986725619636,15.1738694231175,NA,15.438144420369,NA,15.61918619347,NA,NA,15.4162773545005,14.8419848727047,15.202048507206,14.6814226794696,14.9402354338789,15.0933546318724,15.1058058653942,15.4748202475053,15.1395756171985,16.5645771657875,NA,15.5499008280854,15.517115543996,15.1162712963824,14.9996868084334,15.1033234559978,15.1684199568992,15.7112254178283,15.1670687361027,15.3921592684228,15.1524445327674
"O15427","O15427","MOT4_HUMAN","SLC16A3","Monocarboxylate transporter 4","ENSG00000141526",15.9105061542685,NA,13.5269006348356,NA,16.3136145136967,15.5134580102827,12.4781515957782,NA,NA,16.7243634773262,16.527490541865,15.7794388510561,NA,NA,NA,13.7954271579025,13.9024227447738,15.7331662009136,NA,NA,14.6610323251975,15.7803910640825,15.6196343082357,15.8701796050671,15.334123057716,15.3174749922918,14.8460800307741,15.6564697459381,14.7446129420738,15.5897757321326,13.8095703895655,14.1541973360005,14.8626957191471,NA,16.13878167906
"Q96S99","Q96S99","PKHF1_HUMAN","PLEKHF1","Pleckstrin homology domain-containing family F member 1","ENSG00000166289",NA,NA,14.6532934293311,15.5441652126125,15.9095297857374,14.9362161299963,15.6843573820513,15.2397135182849,13.8723715252699,15.5443660687916,15.1032119123233,15.8354054230901,15.598396193158,15.4916422074843,14.9912817000314,15.2215968573313,15.5405501609717,15.6757644477888,14.7233190427808,15.9968115140436,15.1409630121965,15.1726643442133,15.0636182320721,15.6120779463524,14.7971196786364,15.3521211212385,15.2639878311768,15.4752820975572,15.284491185424,15.1842680637935,15.1908604408239,15.2168635818328,15.9587093162338,15.5835151567536,15.8146952984786
"P53701","P53701","CCHL_HUMAN","HCCS","Cytochrome c-type heme lyase","ENSG00000004961",15.2846867856683,NA,14.9953687980101,15.9828899266249,16.448669577032,14.9155108317288,15.0159747477764,15.2144574522771,NA,15.3605312841659,14.583359141265,15.3595071941643,14.8120140669792,NA,15.51988599615,14.3004374885114,15.0998182027424,15.3463565436366,NA,14.8636570703764,14.667239364154,16.1467387452826,15.5631377785427,15.1536502523437,13.7585013575502,14.6738091926518,14.9941656688725,16.0532886965091,15.7338079174378,15.4293617565526,15.6185468157295,16.0987379355204,15.214297848874,15.2598208150503,16.1680194382216
"P26196","P26196","DDX6_HUMAN","DDX6","Probable ATP-dependent RNA helicase DDX6","ENSG00000110367",NA,NA,15.5864322835003,15.2819679155074,NA,15.1044897987838,15.3600143753975,15.3704456402585,14.7470307633307,15.2783947581212,NA,15.688264903325,NA,NA,15.1838358664091,15.3945204045444,15.4304920921027,15.1113365619097,14.9697969174939,15.3235357679445,NA,15.3058343011568,15.2384577702898,15.6882574564558,NA,15.2781331771085,15.2002936544688,15.4172005850155,15.5110062145203,15.9984980920512,15.5852890008528,15.410482549281,15.3176631971352,15.3664764730444,15.8584435753467
"Q16821","Q16821","PPR3A_HUMAN","PPP1R3A","Protein phosphatase 1 regulatory subunit 3A","ENSG00000154415",15.6019002969256,16.4146250546309,15.1963645065857,NA,14.8137599821798,14.5536781322554,14.2167147784419,15.0751966494818,NA,15.9591072826774,14.6096779324171,16.18849781216,15.339456459308,14.444177917412,15.2395380663834,NA,NA,15.7544882469853,NA,NA,14.4490820447582,14.0248600221575,14.9048677432473,16.1036530096551,14.9994647267348,14.953373896772,15.8301887173465,15.7615670952026,15.6690543244297,15.6959228252275,15.3748094963191,15.2406487703124,14.6092915609287,14.9888835705503,16.0784490919365
"Q10713","Q10713","MPPA_HUMAN","PMPCA","Mitochondrial-processing peptidase subunit alpha","ENSG00000165688",15.2858504220962,15.1375848317402,15.4284340681335,15.0705886968624,17.2850171729689,14.9270452727888,13.9828402806627,14.791675535666,14.8595723137946,15.5202581908069,15.2920394180444,15.3955859775532,16.1330530981264,NA,14.9802124819103,14.6950726601783,NA,15.7859982875062,15.022105198343,15.1862370146932,NA,15.2294844276489,15.5561582254408,15.0960440816324,15.3701096573167,NA,15.063584768688,15.4632704311178,15.3462653121274,14.6848612669048,15.0323656446294,14.9914616900103,15.2994794279008,15.2731143986792,15.4165231557435
"Q9HAB8","Q9HAB8","PPCS_HUMAN","PPCS","Phosphopantothenate--cysteine ligase","ENSG00000127125",NA,NA,15.6640156537971,15.4499753169314,15.48748213672,15.2516974356856,15.2790678518151,15.2650474461908,15.82685473624,14.9412851131498,15.3616819844704,14.9404790013199,NA,NA,15.3113155641908,15.5651740817482,15.4175830942206,NA,15.643612775638,16.1217003242198,NA,14.9176495784459,15.5638202381202,15.3630402919199,NA,NA,NA,15.0112251076849,15.1569689860581,14.1983655912851,14.6687520183817,14.4940333668659,14.306312278917,14.8079316284998,15.1626435805812
"Q9BY44","Q9BY44","EIF2A_HUMAN","EIF2A","Eukaryotic translation initiation factor 2A","ENSG00000144895",NA,NA,14.5766573575087,15.0998468366275,15.3720956937033,14.5713242388159,15.3389372185089,15.0619141554181,14.438702420845,14.5508468489901,NA,15.0829745652963,NA,NA,15.658025255466,16.1349515283202,15.7387367018938,14.8548538607791,15.1064765204307,NA,15.0516482205678,15.3215421500879,15.5613315847371,15.535619369294,NA,14.571505278887,15.9060625472436,15.7493506617869,15.3085615508896,15.4976893796122,15.2164813602951,15.5157885517156,15.5556317292394,15.327286143785,15.6425652188287
"Q12955","Q12955","ANK3_HUMAN","ANK3","Ankyrin-3","ENSG00000151150",NA,NA,15.0924638758584,NA,NA,14.6880177229965,15.0644892904413,15.0623739745557,13.4107994606796,15.0323413425287,15.1883289133219,14.6093483024317,NA,NA,14.8909802601672,14.7036911274775,15.0301489829703,15.0041156517924,14.3080996396474,15.1092799587122,NA,14.9755380912165,14.6892910197495,15.8564738506755,NA,15.8597719524697,15.6485115759088,15.8832031967791,15.9996018879872,16.0279574840874,15.9530314705534,15.6705246250893,15.9961468605957,15.8395580412297,15.8510174858783
"Q13405","Q13405","RM49_HUMAN","MRPL49","39S ribosomal protein L49, mitochondrial","ENSG00000149792",15.1154151762187,14.4740825220612,14.628020979844,15.2704541116279,14.4708544425187,NA,13.5022175223851,14.7615861642409,13.7797437866257,14.6252605888208,NA,15.600066637402,15.5123829177888,NA,15.0524130343803,14.4496443657707,15.66257787901,14.0038088799244,NA,14.1830267947041,15.3477659336766,16.0504825862529,16.5214042562895,14.7040607974505,15.7633435034339,NA,16.2611952713684,16.1197225980307,15.4197353406529,15.928120897372,15.1762162185233,16.0197146907744,15.207445840184,15.2518625055222,15.8219467733305
"Q4G0N4","Q4G0N4","NAKD2_HUMAN","NADK2","NAD kinase 2, mitochondrial","ENSG00000152620",NA,NA,15.7014606143921,16.2015061202256,15.2638493774527,15.316384770196,15.112792838726,15.5229248036797,14.3758512688454,15.0474306875547,NA,NA,NA,NA,15.8229796532824,15.3723568759584,14.9221418571064,15.3481190455955,14.292202226842,14.756832164252,NA,15.3182045553163,15.1542389724147,14.8623878537362,NA,15.1616126431108,14.6054253028308,14.8924476682788,15.7248861765097,15.4019936618974,15.696745694686,16.2283384449325,15.5727300372317,15.2702597216286,15.2193774303671
"Q9NXR7","Q9NXR7","BABA2_HUMAN","BABAM2","BRISC and BRCA1-A complex member 2","ENSG00000158019",15.0113543874986,NA,15.8603717142613,NA,16.0774149108517,15.8324338957811,15.0147108226919,14.9028901332023,14.6270727036931,NA,15.1359401356661,15.5703990534601,NA,NA,NA,14.9779330774493,NA,15.5385378656583,14.6060736643999,15.4235494719488,16.1139428066289,14.4379311451258,NA,14.9987668716673,NA,15.5273868464361,15.1661382841833,15.0121486095137,14.9290420463931,15.1430701301994,13.6623687014294,14.827912000344,NA,15.3034458482064,16.549304264253
"Q96HY6","Q96HY6","DDRGK_HUMAN","DDRGK1","DDRGK domain-containing protein 1","ENSG00000198171",15.2040546808348,NA,15.0350997523567,14.7055632637543,14.311553602828,14.7716502962708,15.0216237904346,15.5528224238529,15.4456581798253,15.1069995486555,14.3147210132113,14.5446523423913,14.257384631152,NA,15.5375442887128,15.2251217305197,15.2563712670206,14.931525727788,15.7647016706351,NA,14.9523404961873,13.7153486973706,14.2558115506624,15.3213216671336,15.2535208164316,15.2780374004931,14.6019256141254,14.7494616404213,15.1775679920553,15.5272133050887,15.3118342134844,14.7070943357403,15.556792519107,15.2047728468789,15.1296279784889
"Q9UK41","Q9UK41","VPS28_HUMAN","VPS28","Vacuolar protein sorting-associated protein 28 homolog","ENSG00000160948",14.1572213550472,NA,NA,15.018647767821,15.3951267208439,15.3478573605279,15.4857381995929,15.1996016724027,14.1494079899248,15.2066404875463,NA,15.1626851069909,14.2844440909641,NA,14.8023096851501,NA,NA,14.133286203046,14.5595234037646,NA,15.7562894007023,15.5952164594993,15.4181025961154,15.0713214716605,14.3569725123124,15.6996027608019,15.5500518976086,16.1883224124898,15.4907703711029,16.4376423936911,15.5891598605296,15.3433542198612,15.2370723564255,15.644221121085,15.8990862712741
"Q7L5D6","Q7L5D6","GET4_HUMAN","GET4","Golgi to ER traffic protein 4 homolog","ENSG00000239857",NA,NA,NA,15.016833518366,15.1155305839719,14.2982375903556,14.4818512315846,14.6026460580891,NA,15.2847786303292,14.8785580792345,14.5737241221813,16.2523700007134,NA,NA,NA,14.6135261334855,14.9886322473056,NA,NA,15.9906482436257,15.249706958097,16.0519761789578,14.4880198430607,16.4975245793978,14.3427399485202,14.802678381456,14.915437739322,15.5065482564614,14.6852873900623,15.5621815773235,15.1408034166526,15.7766870359577,15.0882663692717,14.0953394466907
"P22570","P22570","ADRO_HUMAN","FDXR","NADPH:adrenodoxin oxidoreductase, mitochondrial","ENSG00000161513",NA,14.978374956809,14.6001256721935,15.3807907427149,15.7383793870346,15.4785092782185,15.5996972392911,15.704068835934,14.5522284457358,NA,13.9173572338838,NA,15.7932894880974,15.3811649306405,14.9396945883956,13.6749820211117,14.6946143390352,15.4167858555986,14.019182251646,15.3866120861515,16.021090279225,15.3519637514001,13.5605353233773,15.3230409554809,16.0186705087808,14.741192173055,15.5041189488621,15.7923904125996,15.3244154669265,15.2681673780177,15.1674996644058,15.854007638417,15.7047796999255,15.6834940547885,15.3801361573655
"Q01814","Q01814","AT2B2_HUMAN","ATP2B2","Plasma membrane calcium-transporting ATPase 2","ENSG00000157087",15.2291433175138,NA,14.4754669762563,15.3076016565802,14.8636785814945,14.97178837116,15.9709949695645,15.1168788892688,NA,15.4351306840223,15.555968499982,15.8361611871399,14.8027222327046,14.9344097820284,15.6956380264109,15.001237793311,15.470585160713,14.8100628831023,NA,NA,14.7283227908746,14.9525196575648,14.1128743838842,15.4781147496614,NA,15.1420151845803,15.0721206779379,NA,16.0058893403764,14.7304364152534,14.8646572156837,15.8977145584051,16.0093876956383,15.5404168483607,15.6428322063711
"Q8WVM8","Q8WVM8","SCFD1_HUMAN","SCFD1","Sec1 family domain-containing protein 1","ENSG00000092108",15.182544099364,15.5016408622424,15.025473210931,15.1086241734314,14.5608590280739,15.2781203122319,15.222577869472,15.3437666586342,14.9854541194126,15.08871439998,15.3885057020464,15.3750355985763,15.2203273583832,NA,14.5844408676187,14.9638387744618,15.0610789856919,15.0968775616589,15.7564204992318,15.7064084969676,15.5574348435165,14.8543775033777,15.5047767536998,14.6291887941966,NA,15.9207308025826,15.5368820919244,15.2082291989757,15.6161967366818,15.5500446439614,15.714649957943,15.3247562482022,15.5336631431162,15.4699046007465,15.3119367358732
"Q9P2T1","Q9P2T1","GMPR2_HUMAN","GMPR2","GMP reductase 2","ENSG00000100938",15.1893138601702,NA,14.2899850891724,NA,14.8824685944505,14.2036938510007,13.539752416998,NA,14.9012878820823,16.3751648545208,16.0266811683721,16.0721390148134,15.8099241568309,15.6752843578798,NA,NA,NA,15.3202774921638,NA,14.8047076439735,13.5869268130575,NA,14.2252424634281,15.4794055766324,NA,15.8217176624711,14.1354628633183,14.8882230120193,13.233916996003,13.6651143333267,NA,12.5060678083009,14.881369342618,NA,15.1312677523786
"Q9BXW6","Q9BXW6","OSBL1_HUMAN","OSBPL1A","Oxysterol-binding protein-related protein 1","ENSG00000141447",15.4364225953276,15.1028449676559,15.4804379892333,14.7814501091462,16.2811908532489,15.2985613169361,14.252342314526,14.8044015482533,15.4177962566464,14.8919962453045,15.3021058968477,15.2485798024369,15.4349516357446,14.4391262886608,NA,14.818613376397,NA,16.4324202609698,14.427725709335,14.6642206864979,15.1276385449735,14.5825211329928,15.8979127494553,16.1574190649434,15.7976140186136,15.3401030173045,15.2841365501976,15.8032373792236,14.7669729608477,14.9941716729626,14.8508681922992,13.619348306289,15.3275161851739,14.7626400662211,15.8091540027745
"Q9H2J4","Q9H2J4","PDCL3_HUMAN","PDCL3","Phosducin-like protein 3","ENSG00000115539",NA,NA,15.9658663299258,15.0008447653457,15.3308241220225,15.1662306469551,15.7141669625276,15.3355349959383,NA,15.2384781710124,NA,15.2600852502607,NA,NA,15.868917383293,NA,15.4882083113852,15.1030302197678,NA,NA,NA,15.0533020335224,15.2283127206668,14.7463353519564,NA,15.4474858146207,14.8482126929433,15.3643712794666,15.396688015634,15.1951734883754,15.2194798523903,15.4231318955579,15.1704580551122,15.3405643458741,14.6895035926767
"Q9BZZ5","Q9BZZ5","API5_HUMAN","API5","Apoptosis inhibitor 5","ENSG00000166181",14.9132323513803,15.5643267279403,15.3823810646066,14.8105050807567,15.0688104810727,14.9089643542806,15.0607488416347,15.315115044822,15.9180032729178,15.4072432336373,15.4516056353874,14.9954095597643,NA,NA,15.2904302294617,15.5557916053447,15.4753697890781,15.0074967365037,15.3422046413798,14.8669842481355,NA,15.3129166631718,15.0805255396852,15.5984134938032,NA,15.4062613353679,15.7269894301405,15.1542556215557,15.0397532623679,14.5936323759325,14.5894978485569,14.4160041841883,14.6535511073711,14.8025545967293,15.5281114585489
