"gene","cv_t1","cv_t2","delta_cv","supplement"
"CYCS",36.9246507820292,55.0888801654029,18.1642293833736,"Creatine"
"TPM1",29.3419182088089,162.207382243425,132.865464034616,"Creatine"
"PPIA",45.6963909047232,105.681456492201,59.9850655874781,"Creatine"
"GPD1",30.1470698261288,57.5538687873616,27.4067989612328,"Creatine"
"CFL1",33.9419776772401,45.6587974437813,11.7168197665412,"Creatine"
"VIM",94.4457171712936,111.194232177265,16.7485150059712,"Creatine"
"CS",44.0420115673177,59.5334505122639,15.4914389449462,"Creatine"
"DECR1",64.601420923262,48.4842178138139,-16.1172031094481,"Creatine"
"HSPA8",18.2711097200353,37.9580802086222,19.686970488587,"Creatine"
"HADHA",23.3453638209494,28.0419831888704,4.69661936792107,"Creatine"
"ACO2",44.4784938587017,49.1081908646267,4.62969700592496,"Creatine"
"LGALS1",38.6759827416046,45.0725580682323,6.39657532662772,"Creatine"
"BLVRB",77.9884981367939,105.204959783856,27.2164616470617,"Creatine"
"ACAT1",20.8505882683892,34.7199955561988,13.8694072878096,"Creatine"
"ANXA2",73.5595455114854,118.630562871076,45.0710173595907,"Creatine"
"CSRP3",47.0939835805381,43.8982321496412,-3.19575143089693,"Creatine"
"LDB3",21.3705667687765,44.5555832857087,23.1850165169321,"Creatine"
"AKR1A1",12.632493120845,33.7660427136065,21.1335495927615,"Creatine"
"GSTM2",27.9105243427963,31.9336973961876,4.02317305339128,"Creatine"
"MYBPC1",45.6074369677254,71.1766107850674,25.569173817342,"Creatine"
"TNNI2",39.2948722214859,155.713779427855,116.418907206369,"Creatine"
"ANXA6",11.5950516011775,45.1973152961517,33.6022636949742,"Creatine"
"C3",110.557617542721,104.926479383796,-5.63113815892508,"Creatine"
"CFL2",31.8146652679326,29.5049000535464,-2.30976521438614,"Creatine"
"TTR",82.1712316691227,117.07136063694,34.900128967817,"Creatine"
"VDAC1",22.4543950946757,30.6414863316816,8.18709123700592,"Creatine"
"TXN",23.1582088318981,51.7502617865189,28.5920529546208,"Creatine"
"FLNC",44.4329529036098,48.2734601369217,3.84050723331194,"Creatine"
"A2M",122.138281003098,98.9799277560512,-23.1583532470465,"Creatine"
"CALM1",32.6102914708525,81.9340832039619,49.3237917331095,"Creatine"
"TNNT3",34.4349997313287,149.659640097983,115.224640366654,"Creatine"
"LDHB",22.7186164876526,78.8140516590398,56.0954351713872,"Creatine"
"S100A6",86.136021748512,109.947148496117,23.8111267476054,"Creatine"
"BIN1",25.0117227397446,14.0143434064769,-10.9973793332677,"Creatine"
"ACADVL",34.8334721633537,55.0823784517475,20.2489062883939,"Creatine"
"AKR1B1",20.436930034729,35.147078630797,14.710148596068,"Creatine"
"PRDX3",26.0816721186535,19.1208779317261,-6.96079418692738,"Creatine"
"HADHB",24.7402967690104,39.1621487165305,14.4218519475201,"Creatine"
"CAT",109.014432843751,119.119525629095,10.1050927853442,"Creatine"
