gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
RPL36,0.5442,0.7776,0.37745,0.992867,NS
PDLIM2,-0.5974,0.7066,0.378307,0.992867,NS
SESN1,-0.4269,0.9844,0.379966,0.992867,NS
AKAP12,0.5809,0.7231,0.38017,0.992867,NS
HNRNPUL1,0.4779,0.8777,0.380655,0.992867,NS
LAMB2,0.688,0.6083,0.381468,0.992867,NS
ACTC1,0.9677,0.4325,0.381508,0.992867,NS
RANGAP1,0.5204,0.7976,0.384518,0.992867,NS
SND1,0.3903,1.0613,0.385262,0.992867,NS
UBE4A,-0.5767,0.7177,0.385526,0.992867,NS
RPL36AL,-0.7758,0.5321,0.386508,0.992867,NS
PFAS,-0.5745,0.7161,0.387802,0.992867,NS
PDK2,-0.5743,0.7129,0.389518,0.992867,NS
NT5C,-0.4786,0.8528,0.390702,0.992867,NS
KCTD12,0.4707,0.8668,0.390829,0.992867,NS
MYLK2,-0.5805,0.7005,0.392079,0.992867,NS
VAT1,0.597,0.6809,0.392219,0.992867,NS
DYNLT3,-0.8048,0.5044,0.392673,0.992867,NS
TARS3,-0.8036,0.5035,0.393875,0.992867,NS
CNN2,0.6086,0.6611,0.395956,0.992867,NS
C11orf54,-0.4928,0.8118,0.398055,0.992867,NS
BCAM,-0.4235,0.9445,0.398102,0.992867,NS
BTF3,0.4889,0.8144,0.399787,0.992867,NS
PTMS,0.4667,0.8511,0.400659,0.992867,NS
IFI16,-0.7052,0.5629,0.400863,0.992867,NS
METTL26,-0.4337,0.915,0.401039,0.992867,NS
SERPINH1,0.6789,0.5842,0.401249,0.992867,NS
RPL5,0.3667,1.0779,0.402494,0.992867,NS
PAIP1,-0.5626,0.7019,0.402816,0.992867,NS
MYH10,0.4917,0.8022,0.403196,0.992867,NS
STAT1,0.5048,0.7729,0.407232,0.992867,NS
BCAP31,0.5329,0.7313,0.407672,0.992867,NS
NAGK,0.3737,1.0357,0.410154,0.992867,NS
PIP4K2B,-0.4205,0.9163,0.411825,0.992867,NS
FAM120A,0.4822,0.7988,0.411941,0.992867,NS
CD99L2,-0.3954,0.9727,0.41243,0.992867,NS
MYL4,0.7259,0.5285,0.413395,0.992867,NS
MYH9,0.4959,0.7717,0.414286,0.992867,NS
GNA11,0.373,1.0254,0.414543,0.992867,NS
FHL3,-0.5749,0.6577,0.418677,0.992867,NS
KYAT1,-0.5139,0.7329,0.420119,0.992867,NS
TPSB2,0.6079,0.6193,0.420263,0.992867,NS
PPP3CB,-0.4622,0.8125,0.421163,0.992867,NS
RBBP7,-0.4696,0.7939,0.423799,0.992867,NS
AHNAK,0.6382,0.5826,0.424813,0.992867,NS
ANXA4,0.4606,0.8041,0.426273,0.992867,NS
MRPS28,-0.4961,0.7465,0.426283,0.992867,NS
GLUL,0.4785,0.7739,0.426284,0.992867,NS
NANS,0.4419,0.8364,0.426929,0.992867,NS
ATP5F1E,-0.5579,0.659,0.428867,0.992867,NS
JPH1,-0.508,0.7142,0.433724,0.992867,NS
IPO7,-0.3695,0.9735,0.436772,0.992867,NS
S100A11,0.6248,0.5746,0.437514,0.992867,NS
MANF,0.5544,0.6471,0.437777,0.992867,NS
THOP1,-0.3574,1.0025,0.438248,0.992867,NS
DCN,0.722,0.495,0.439119,0.992867,NS
NDRG1,0.4963,0.7156,0.441405,0.992867,NS
PMPCA,0.439,0.8022,0.444416,0.992867,NS
AGFG1,0.6154,0.5704,0.445624,0.992867,NS
MFGE8,0.7358,0.4761,0.446365,0.992867,NS
PFDN6,-0.3561,0.9828,0.446747,0.992867,NS
CNBP,-0.5462,0.64,0.447107,0.992867,NS
PIN4,-0.3873,0.9023,0.44726,0.992867,NS
CLEC3B,0.558,0.6231,0.449071,0.992867,NS
NT5E,0.5375,0.6466,0.449194,0.992867,NS
TIMM13,-0.4854,0.7143,0.450033,0.992867,NS
CACNB3,-0.4231,0.8181,0.450687,0.992867,NS
PGM5,-0.4493,0.7675,0.451996,0.992867,NS
RHOG,0.5605,0.6143,0.452609,0.992867,NS
ESD,-0.279,1.2322,0.45315,0.992867,NS
ARF1,0.4098,0.8371,0.453903,0.992867,NS
LDHA,0.3559,0.962,0.454578,0.992867,NS
NDUFAF5,0.5056,0.6767,0.454862,0.992867,NS
MCCC1,-0.4064,0.8416,0.454976,0.992867,NS
DNAJC19,0.4458,0.7648,0.456118,0.992867,NS
CSRP2,-0.6152,0.5538,0.456351,0.992867,NS
PFDN5,-0.3386,1.0055,0.456608,0.992867,NS
TUBA1B,0.4615,0.73740000000000006,0.456779,0.992867,NS
HDHD2,-0.3555,0.9566,0.457053,0.992867,NS
LSS,-0.3562,0.9535,0.457451,0.992867,NS
APOBEC2,-0.5738,0.5915,0.457682,0.992867,NS
DPYSL2,0.4638,0.73,0.45859,0.992867,NS
PTPMT1,0.6614,0.5113,0.458969,0.992867,NS
IGHG1,0.7155,0.4721,0.459396,0.992867,NS
PGRMC1,0.4259,0.7924,0.459737,0.992867,NS
AHSA1,0.3698,0.9102,0.460671,0.992867,NS
