uniprot_id,gene,protein,description
Q9UHX1,PUF60,PUF60_HUMAN,Poly(U)-binding-splicing factor PUF60
Q9UHY1,NRBP1,NRBP_HUMAN,Nuclear receptor-binding protein
Q9UHY7,ENOPH1,ENOPH_HUMAN,Enolase-phosphatase E1
Q9UI09,NDUFA12,NDUAC_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
Q9UI10,EIF2B4,EI2BD_HUMAN,Translation initiation factor eIF-2B subunit delta
Q9UI12,ATP6V1H,VATH_HUMAN,V-type proton ATPase subunit H
Q9UI30,TRMT112,TR112_HUMAN,Multifunctional methyltransferase subunit TRM112-like protein
Q9UIA9,XPO7,XPO7_HUMAN,Exportin-7
Q9UIC8,LCMT1,LCMT1_HUMAN,Leucine carboxyl methyltransferase 1
Q9UII2,ATP5IF1,ATIF1_HUMAN,"ATPase inhibitor, mitochondrial"
Q9UIJ7,AK3,KAD3_HUMAN,"GTP:AMP phosphotransferase AK3, mitochondrial"
Q9UIQ6,LNPEP,LCAP_HUMAN,Leucyl-cystinyl aminopeptidase
Q9UJ68,MSRA,MSRA_HUMAN,Mitochondrial peptide methionine sulfoxide reductase
Q9UJ70,NAGK,NAGK_HUMAN,N-acetyl-D-glucosamine kinase
Q9UJS0,SLC25A13,CMC2_HUMAN,Calcium-binding mitochondrial carrier protein Aralar2
Q9UJU6,DBNL,DBNL_HUMAN,Drebrin-like protein
Q9UJW0,DCTN4,DCTN4_HUMAN,Dynactin subunit 4
Q9UJY1,HSPB8,HSPB8_HUMAN,Heat shock protein beta-8
Q9UJZ1,STOML2,STML2_HUMAN,"Stomatin-like protein 2, mitochondrial"
Q9UK41,VPS28,VPS28_HUMAN,Vacuolar protein sorting-associated protein 28 homolog
Q9UK76,JPT1,JUPI1_HUMAN,Jupiter microtubule associated homolog 1
Q9UKG1,APPL1,DP13A_HUMAN,DCC-interacting protein 13-alpha
Q9UKL6,PCTP,PPCT_HUMAN,Phosphatidylcholine transfer protein
Q9UKS6,PACSIN3,PACN3_HUMAN,Protein kinase C and casein kinase substrate in neurons protein 3
Q9UKU7,ACAD8,ACAD8_HUMAN,"Isobutyryl-CoA dehydrogenase, mitochondrial"
Q9UKV8,AGO2,AGO2_HUMAN,Protein argonaute-2
Q9UKX2,MYH2,MYH2_HUMAN,Myosin-2
Q9UKX3,MYH13,MYH13_HUMAN,Myosin-13
Q9UKY7,CDV3,CDV3_HUMAN,Protein CDV3 homolog
Q9UL25,RAB21,RAB21_HUMAN,Ras-related protein Rab-21
Q9UL46,PSME2,PSME2_HUMAN,Proteasome activator complex subunit 2
Q9ULA0,DNPEP,DNPEP_HUMAN,Aspartyl aminopeptidase
Q9ULC3,RAB23,RAB23_HUMAN,Ras-related protein Rab-23
Q9ULC4,MCTS1,MCTS1_HUMAN,Malignant T-cell-amplified sequence 1
Q9ULT8,HECTD1,HECD1_HUMAN,E3 ubiquitin-protein ligase HECTD1
Q9ULV4,CORO1C,COR1C_HUMAN,Coronin-1C
Q9ULX7,CA14,CAH14_HUMAN,Carbonic anhydrase 14
Q9ULZ3,PYCARD,ASC_HUMAN,Apoptosis-associated speck-like protein containing a CARD
Q9UM00,TMCO1,TMCO1_HUMAN,Calcium load-activated calcium channel
Q9UM22,EPDR1,EPDR1_HUMAN,Mammalian ependymin-related protein 1
Q9UM54,MYO6,MYO6_HUMAN,Unconventional myosin-VI
Q9UMR2,DDX19B,DD19B_HUMAN,ATP-dependent RNA helicase DDX19B
Q9UMS0,NFU1,NFU1_HUMAN,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"
Q9UMS6,SYNPO2,SYNP2_HUMAN,Synaptopodin-2
