contrast,gene,average_intensity,logFC,sig_pi,direction
Training_PLA,ATP5F1E,19.2914006335027,0.0558626479785076,0,NS
Training_PLA,CARM1,19.1587337296314,0.0992569976357487,0,NS
Training_PLA,SH3BGRL3,18.799225926381,0.538969631309737,0,NS
Training_PLA,SGCB,19.2740269138877,-0.174328917409035,0,NS
Training_PLA,MYOM3,18.6639586441617,0.400270914907264,0,NS
Training_PLA,FBXO7,18.9257436657898,0.839882181882682,0,NS
Training_PLA,MAP2K1,19.3450388580017,-0.245809573607556,0,NS
Training_PLA,DYNLL1,19.1829530937313,-8.7146962441764e-4,0,NS
Training_PLA,SQOR,19.0273354882119,-0.294165733713434,0,NS
Training_PLA,PSME2,19.1657242923885,-0.295143426871729,0,NS
Training_PLA,CPNE3,19.2577592296257,-0.40148576726574,0,NS
Training_PLA,ECHDC1,18.8468407348947,0.512058107537939,0,NS
Training_PLA,ASPH,18.8020220923352,0.255350848639079,0,NS
Training_PLA,CAMK2G,19.2149542602824,0.0962321010865672,0,NS
Training_PLA,APOO,18.995196507498,0.0644119882296401,0,NS
Training_PLA,JPH2,19.2248355576338,-0.0195691614645632,0,NS
Training_PLA,PTMS,18.9291230474212,-0.0824584354651066,0,NS
Training_PLA,ART3,19.0832347188461,-0.334738457960547,0,NS
Training_PLA,LAMC1,18.456496966113,0.132136617904646,0,NS
Training_PLA,SRSF2,19.1190617737198,-0.138443821945394,0,NS
Training_PLA,ENDOG,18.878301913728,-0.216291844022749,0,NS
Training_PLA,SYNGR2,19.1043971158806,0.0264899915924488,0,NS
Training_PLA,XRCC5,19.1975502031799,0.295304737889897,0,NS
Training_PLA,TMEM38A,18.9900542686163,-0.577190379521483,0,NS
Training_PLA,SDR39U1,19.0749554243469,0.92307175138988,0,NS
Training_PLA,TMLHE,19.1775763930206,-0.343847525202339,0,NS
Training_PLA,SYNJ2BP,19.140311685856,0.400570839746653,0,NS
Training_PLA,PLCD4,19.1846428693761,-0.0416424895678311,0,NS
Training_PLA,SNRPD1,19.013301968413295,-0.035471280264936,0,NS
Training_PLA,PRKG1,19.1538389494567,0.0846590628074253,0,NS
Training_PLA,OPA1,19.1573946620678,-0.0249082118141963,0,NS
Training_PLA,SEC22B,19.1399678184551,-0.0436798247547223,0,NS
Training_PLA,OXCT1,18.5661087792071,0.313157321239895,0,NS
Training_PLA,PFDN6,19.1013052404178,0.0219357077730393,0,NS
Training_PLA,TSPO,18.9865297575631,0.477617721955344,0,NS
Training_PLA,ALDH7A1,19.1905843572315,0.144262986481863,0,NS
Training_PLA,PSMD11,19.1567407655603,-0.017625603509412,0,NS
Training_PLA,DNM1L,19.1060725088818,0.164859839683604,0,NS
Training_PLA,NID1,18.6176750096546,0.207708986198263,0,NS
Training_PLA,HSD17B8,19.0178200160237,0.227933530676012,0,NS
Training_PLA,SORBS1,18.0889841141896,0.0498777246777387,0,NS
Training_PLA,PDAP1,19.2158645526941,0.220184945327652,0,NS
Training_PLA,HNRNPA3,18.7272777582628,-1.07011624643505,0,NS
